Filename,Label,seg_Start,seg_End,t_ms,CPP,strF0,Column1
second_sample.mat,second_sample.mat,1,3000,250,7.564,206.008,
second_sample.mat,second_sample.mat,1,3000,251,7.785,205.906,
second_sample.mat,second_sample.mat,1,3000,252,7.341,205.991,
second_sample.mat,second_sample.mat,1,3000,253,8.366,206.023,
second_sample.mat,second_sample.mat,1,3000,254,8.474,206.127,
second_sample.mat,second_sample.mat,1,3000,255,7.384,206.171,
second_sample.mat,second_sample.mat,1,3000,256,7.799,206.078,
second_sample.mat,second_sample.mat,1,3000,257,7.082,206.134,
second_sample.mat,second_sample.mat,1,3000,258,7.741,206.036,
second_sample.mat,second_sample.mat,1,3000,259,7.267,206.065,
second_sample.mat,second_sample.mat,1,3000,260,8.075,206.051,
second_sample.mat,second_sample.mat,1,3000,261,7.323,206.1,
second_sample.mat,second_sample.mat,1,3000,262,8.245,206.138,
second_sample.mat,second_sample.mat,1,3000,263,8.315,206.205,
second_sample.mat,second_sample.mat,1,3000,264,7.969,206.204,
second_sample.mat,second_sample.mat,1,3000,265,7.864,206.135,
second_sample.mat,second_sample.mat,1,3000,266,10.213,206.094,
second_sample.mat,second_sample.mat,1,3000,267,8.021,206.05,
second_sample.mat,second_sample.mat,1,3000,268,7.384,206.062,
second_sample.mat,second_sample.mat,1,3000,269,8.337,206.034,
second_sample.mat,second_sample.mat,1,3000,270,8.22,206.127,
second_sample.mat,second_sample.mat,1,3000,271,7.28,206.073,
second_sample.mat,second_sample.mat,1,3000,272,8.022,206.167,
second_sample.mat,second_sample.mat,1,3000,273,7.287,206.124,
second_sample.mat,second_sample.mat,1,3000,274,7.707,206.02,
second_sample.mat,second_sample.mat,1,3000,275,7.571,205.989,
second_sample.mat,second_sample.mat,1,3000,276,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,277,7.472,206.007,
second_sample.mat,second_sample.mat,1,3000,278,8.704,205.981,
second_sample.mat,second_sample.mat,1,3000,279,8.321,206.1,
second_sample.mat,second_sample.mat,1,3000,280,7.383,206.135,
second_sample.mat,second_sample.mat,1,3000,281,7.706,206.181,
second_sample.mat,second_sample.mat,1,3000,282,7.277,206.238,
second_sample.mat,second_sample.mat,1,3000,283,7.272,206.199,
second_sample.mat,second_sample.mat,1,3000,284,7.273,206.259,
second_sample.mat,second_sample.mat,1,3000,285,8.04,206.316,
second_sample.mat,second_sample.mat,1,3000,286,7.304,206.366,
second_sample.mat,second_sample.mat,1,3000,287,8.207,206.407,
second_sample.mat,second_sample.mat,1,3000,288,8.322,206.485,
second_sample.mat,second_sample.mat,1,3000,289,7.684,206.466,
second_sample.mat,second_sample.mat,1,3000,290,7.85,206.472,
second_sample.mat,second_sample.mat,1,3000,291,10.081,206.401,
second_sample.mat,second_sample.mat,1,3000,292,7.986,206.377,
second_sample.mat,second_sample.mat,1,3000,293,7.558,206.294,
second_sample.mat,second_sample.mat,1,3000,294,8.393,206.24,
second_sample.mat,second_sample.mat,1,3000,295,8.234,206.328,
second_sample.mat,second_sample.mat,1,3000,296,7.286,206.257,
second_sample.mat,second_sample.mat,1,3000,297,8.022,206.297,
second_sample.mat,second_sample.mat,1,3000,298,7.298,206.29,
second_sample.mat,second_sample.mat,1,3000,299,7.34,206.249,
second_sample.mat,second_sample.mat,1,3000,300,7.564,206.211,
second_sample.mat,second_sample.mat,1,3000,301,7.785,206.162,
second_sample.mat,second_sample.mat,1,3000,302,7.341,206.211,
second_sample.mat,second_sample.mat,1,3000,303,8.366,206.249,
second_sample.mat,second_sample.mat,1,3000,304,8.474,206.29,
second_sample.mat,second_sample.mat,1,3000,305,7.384,206.297,
second_sample.mat,second_sample.mat,1,3000,306,7.799,206.257,
second_sample.mat,second_sample.mat,1,3000,307,7.082,206.328,
second_sample.mat,second_sample.mat,1,3000,308,7.741,206.24,
second_sample.mat,second_sample.mat,1,3000,309,7.267,206.294,
second_sample.mat,second_sample.mat,1,3000,310,8.075,206.377,
second_sample.mat,second_sample.mat,1,3000,311,7.323,206.401,
second_sample.mat,second_sample.mat,1,3000,312,8.245,206.472,
second_sample.mat,second_sample.mat,1,3000,313,8.315,206.466,
second_sample.mat,second_sample.mat,1,3000,314,7.969,206.485,
second_sample.mat,second_sample.mat,1,3000,315,7.864,206.407,
second_sample.mat,second_sample.mat,1,3000,316,10.213,206.366,
second_sample.mat,second_sample.mat,1,3000,317,8.021,206.316,
second_sample.mat,second_sample.mat,1,3000,318,7.384,206.259,
second_sample.mat,second_sample.mat,1,3000,319,8.337,206.199,
second_sample.mat,second_sample.mat,1,3000,320,8.22,206.238,
second_sample.mat,second_sample.mat,1,3000,321,7.28,206.181,
second_sample.mat,second_sample.mat,1,3000,322,8.022,206.135,
second_sample.mat,second_sample.mat,1,3000,323,7.287,206.1,
second_sample.mat,second_sample.mat,1,3000,324,7.707,205.981,
second_sample.mat,second_sample.mat,1,3000,325,7.571,206.007,
second_sample.mat,second_sample.mat,1,3000,326,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,327,7.472,205.989,
second_sample.mat,second_sample.mat,1,3000,328,8.704,206.02,
second_sample.mat,second_sample.mat,1,3000,329,8.321,206.124,
second_sample.mat,second_sample.mat,1,3000,330,7.383,206.167,
second_sample.mat,second_sample.mat,1,3000,331,7.706,206.073,
second_sample.mat,second_sample.mat,1,3000,332,7.277,206.127,
second_sample.mat,second_sample.mat,1,3000,333,7.272,206.034,
second_sample.mat,second_sample.mat,1,3000,334,7.273,206.062,
second_sample.mat,second_sample.mat,1,3000,335,8.04,206.05,
second_sample.mat,second_sample.mat,1,3000,336,7.304,206.094,
second_sample.mat,second_sample.mat,1,3000,337,8.207,206.135,
second_sample.mat,second_sample.mat,1,3000,338,8.322,206.204,
second_sample.mat,second_sample.mat,1,3000,339,7.684,206.205,
second_sample.mat,second_sample.mat,1,3000,340,7.85,206.138,
second_sample.mat,second_sample.mat,1,3000,341,10.081,206.1,
second_sample.mat,second_sample.mat,1,3000,342,7.986,206.051,
second_sample.mat,second_sample.mat,1,3000,343,7.558,206.065,
second_sample.mat,second_sample.mat,1,3000,344,8.393,206.036,
second_sample.mat,second_sample.mat,1,3000,345,8.234,206.134,
second_sample.mat,second_sample.mat,1,3000,346,7.286,206.078,
second_sample.mat,second_sample.mat,1,3000,347,8.022,206.171,
second_sample.mat,second_sample.mat,1,3000,348,7.298,206.127,
second_sample.mat,second_sample.mat,1,3000,349,7.34,206.023,
second_sample.mat,second_sample.mat,1,3000,350,7.564,205.991,
second_sample.mat,second_sample.mat,1,3000,351,7.785,205.906,
second_sample.mat,second_sample.mat,1,3000,352,7.341,206.008,
second_sample.mat,second_sample.mat,1,3000,353,8.366,205.982,
second_sample.mat,second_sample.mat,1,3000,354,8.474,206.101,
second_sample.mat,second_sample.mat,1,3000,355,7.384,206.138,
second_sample.mat,second_sample.mat,1,3000,356,7.799,206.183,
second_sample.mat,second_sample.mat,1,3000,357,7.082,206.242,
second_sample.mat,second_sample.mat,1,3000,358,7.741,206.198,
second_sample.mat,second_sample.mat,1,3000,359,7.267,206.258,
second_sample.mat,second_sample.mat,1,3000,360,8.075,206.314,
second_sample.mat,second_sample.mat,1,3000,361,7.323,206.371,
second_sample.mat,second_sample.mat,1,3000,362,8.245,206.406,
second_sample.mat,second_sample.mat,1,3000,363,8.315,206.483,
second_sample.mat,second_sample.mat,1,3000,364,7.969,206.462,
second_sample.mat,second_sample.mat,1,3000,365,7.864,206.468,
second_sample.mat,second_sample.mat,1,3000,366,10.213,206.393,
second_sample.mat,second_sample.mat,1,3000,367,8.021,206.374,
second_sample.mat,second_sample.mat,1,3000,368,7.384,206.29,
second_sample.mat,second_sample.mat,1,3000,369,8.337,206.236,
second_sample.mat,second_sample.mat,1,3000,370,8.22,206.319,
second_sample.mat,second_sample.mat,1,3000,371,7.28,206.251,
second_sample.mat,second_sample.mat,1,3000,372,8.022,206.292,
second_sample.mat,second_sample.mat,1,3000,373,7.287,206.286,
second_sample.mat,second_sample.mat,1,3000,374,7.707,206.245,
second_sample.mat,second_sample.mat,1,3000,375,7.571,206.208,
second_sample.mat,second_sample.mat,1,3000,376,7.806,206.156,
second_sample.mat,second_sample.mat,1,3000,377,7.472,206.208,
second_sample.mat,second_sample.mat,1,3000,378,8.704,206.245,
second_sample.mat,second_sample.mat,1,3000,379,8.321,206.286,
second_sample.mat,second_sample.mat,1,3000,380,7.383,206.292,
second_sample.mat,second_sample.mat,1,3000,381,7.706,206.251,
second_sample.mat,second_sample.mat,1,3000,382,7.277,206.319,
second_sample.mat,second_sample.mat,1,3000,383,7.272,206.236,
second_sample.mat,second_sample.mat,1,3000,384,7.273,206.29,
second_sample.mat,second_sample.mat,1,3000,385,8.04,206.374,
second_sample.mat,second_sample.mat,1,3000,386,7.304,206.393,
second_sample.mat,second_sample.mat,1,3000,387,8.207,206.468,
second_sample.mat,second_sample.mat,1,3000,388,8.322,206.462,
second_sample.mat,second_sample.mat,1,3000,389,7.684,206.483,
second_sample.mat,second_sample.mat,1,3000,390,7.85,206.406,
second_sample.mat,second_sample.mat,1,3000,391,10.081,206.371,
second_sample.mat,second_sample.mat,1,3000,392,7.986,206.314,
second_sample.mat,second_sample.mat,1,3000,393,7.558,206.258,
second_sample.mat,second_sample.mat,1,3000,394,8.393,206.198,
second_sample.mat,second_sample.mat,1,3000,395,8.234,206.242,
second_sample.mat,second_sample.mat,1,3000,396,7.286,206.183,
second_sample.mat,second_sample.mat,1,3000,397,8.022,206.138,
second_sample.mat,second_sample.mat,1,3000,398,7.298,206.101,
second_sample.mat,second_sample.mat,1,3000,399,7.34,205.982,
second_sample.mat,second_sample.mat,1,3000,400,7.564,206.008,
second_sample.mat,second_sample.mat,1,3000,401,7.785,205.906,
second_sample.mat,second_sample.mat,1,3000,402,7.341,205.991,
second_sample.mat,second_sample.mat,1,3000,403,8.366,206.023,
second_sample.mat,second_sample.mat,1,3000,404,8.474,206.127,
second_sample.mat,second_sample.mat,1,3000,405,7.384,206.171,
second_sample.mat,second_sample.mat,1,3000,406,7.799,206.078,
second_sample.mat,second_sample.mat,1,3000,407,7.082,206.134,
second_sample.mat,second_sample.mat,1,3000,408,7.741,206.036,
